Date,US
11/11/20,10500000
11/12/20,10662955
11/13/20,10843985
11/14/20,11015041
11/15/20,11152060
11/16/20,11312847
11/17/20,11476626
11/18/20,11650148
11/19/20,11841871
11/20/20,12043059
11/21/20,12223927
11/22/20,12370147
11/23/20,12543324
11/24/20,12720653
11/25/20,12905298
11/26/20,13021515
11/27/20,13226451
11/28/20,13384075
11/29/20,13524480
11/30/20,13681218
12/1/20,13875057
12/2/20,14079202
12/3/20,14303710
12/4/20,14538416
12/5/20,14759133
12/6/20,14937723
12/7/20,15129267
12/8/20,15359791
12/9/20,15581327
12/10/20,15815581
12/11/20,16056302
12/12/20,16276348
12/13/20,16463227
12/14/20,16665174
12/15/20,16886630
12/16/20,17127062
12/17/20,17364595
12/18/20,17613077
12/19/20,17814222
12/20/20,17999527
12/21/20,18190799
12/22/20,18392024
12/23/20,18617449
12/24/20,18822709
12/25/20,18930694
12/26/20,19149187
12/27/20,19303663
12/28/20,19471624
12/29/20,19672858
12/30/20,19894606
12/31/20,20153407
1/1/21,20318085
1/2/21,20614548
1/3/21,20817609
1/4/21,21000263
1/5/21,21231487
1/6/21,21487814
1/7/21,21776472
1/8/21,22079480
1/9/21,22338581
1/10/21,22551280
1/11/21,22763308
1/12/21,22981721
1/13/21,23211213
1/14/21,23449840
1/15/21,23696118
1/16/21,23904210
1/17/21,24080564
1/18/21,24221315
1/19/21,24386731
1/20/21,24572027
1/21/21,24764028
1/22/21,24953381
1/23/21,25127612
1/24/21,25265206
1/25/21,25408108
1/26/21,25552460
1/27/21,25707757
1/28/21,25874333
1/29/21,26041097
1/30/21,26185812
1/31/21,26300968
2/1/21,26430576
2/2/21,26544805
2/3/21,26667875
2/4/21,26791814
2/5/21,26923109
2/6/21,27033851
2/7/21,27125342
2/8/21,27211264
2/9/21,27305453
2/10/21,27401321
2/11/21,27507454
2/12/21,27607264
2/13/21,27695855
2/14/21,27762171
2/15/21,27816631
2/16/21,27875792
2/17/21,27945834
2/18/21,28017130
2/19/21,28095265
2/20/21,28168390
2/21/21,28226147
2/22/21,28281294
2/23/21,28353211
2/24/21,28428219
2/25/21,28506209
2/26/21,28583890
2/27/21,28649627
2/28/21,28701621
3/1/21,28757042
3/2/21,28814006
3/3/21,28881157
3/4/21,28949409
3/5/21,29016334
3/6/21,29075178
3/7/21,29117203
3/8/21,29161857
3/9/21,29217819
3/10/21,29275991
3/11/21,29338766
3/12/21,29400372
3/13/21,29453931
3/14/21,29492629
3/15/21,29547870
3/16/21,29602187
3/17/21,29661581
3/18/21,29721933
3/19/21,29783930
3/20/21,29840560
3/21/21,29875168
3/22/21,29925277
3/23/21,29978671
3/24/21,30065443
3/25/21,30133300
3/26/21,30210764
3/27/21,30274592
3/28/21,30318223
3/29/21,30386552
3/30/21,30447766
3/31/21,30514599
4/1/21,30593758
4/2/21,30664664
4/3/21,30728418
4/4/21,30764589
4/5/21,30839424
4/6/21,30900319
4/7/21,30975322
4/8/21,31055433
4/9/21,31139621
4/10/21,31208269
4/11/21,31254338
4/12/21,31322579
4/13/21,31400634
4/14/21,31476253
4/15/21,31550222
4/16/21,31630453
4/17/21,31683798
4/18/21,31726371
4/19/21,31793519
4/20/21,31854271
4/21/21,31918063
4/22/21,31984543
4/23/21,32047626
4/24/21,32101263
4/25/21,32134243
4/26/21,32180714
4/27/21,32231164
4/28/21,32286420
4/29/21,32344919
4/30/21,32403009
5/1/21,32449242
5/2/21,32478988
5/3/21,32528524
5/4/21,32568609
5/5/21,32613835
5/6/21,32661613
5/7/21,32709226
5/8/21,32743468
5/9/21,32765338
5/10/21,32801148
5/11/21,32834742
5/12/21,32870655
5/13/21,32909594
5/14/21,32951204
5/15/21,32980549
5/16/21,32997775
5/17/21,33026147
5/18/21,33053568
5/19/21,33082846
5/20/21,33113019
5/21/21,33141186
5/22/21,33161623
5/23/21,33174939
5/24/21,33199936
5/25/21,33222570
5/26/21,33246937
5/27/21,33274280
5/28/21,33296016
5/29/21,33308485
5/30/21,33315411
5/31/21,33321318
6/1/21,33343437
6/2/21,33360362
6/3/21,33379553
6/4/21,33396464
6/5/21,33410799
6/6/21,33416473
6/7/21,33431582
6/8/21,33444414
6/9/21,33463318
6/10/21,33477742
6/11/21,33502472
6/12/21,33511160
6/13/21,33516317
6/14/21,33528681
6/15/21,33539511
6/16/21,33552066
6/17/21,33562687
6/18/21,33583888
6/19/21,33592377
6/20/21,33596833
6/21/21,33608506
6/22/21,33619231
6/23/21,33632232
6/24/21,33646009
6/25/21,33670274
6/26/21,33678918
6/27/21,33683169
6/28/21,33697745
6/29/21,33704435
6/30/21,33720689
7/1/21,33735128
7/2/21,33764550
7/3/21,33769176
7/4/21,33772933
7/5/21,33781561
7/6/21,33804602
7/7/21,33827555
7/8/21,33846677
7/9/21,33894307
7/10/21,33902606
7/11/21,33913402
7/12/21,33947050
7/13/21,33973284
7/14/21,34006026
7/15/21,34036009
7/16/21,34113900
7/17/21,34125618
7/18/21,34144863
7/19/21,34195943
7/20/21,34237704
7/21/21,34288095
7/22/21,34342829
7/23/21,34463216
7/24/21,34488230
7/25/21,34512344
7/26/21,34599299
7/27/21,34667713
7/28/21,34736801
7/29/21,34816325
7/30/21,35005461
7/31/21,35037755
8/1/21,35079208
8/2/21,35199930
8/3/21,35302681
8/4/21,35399526
8/5/21,35510190
8/6/21,35765271
8/7/21,35814019
8/8/21,35840582
8/9/21,36021800
8/10/21,36142769
8/11/21,36298808
8/12/21,36440784
8/13/21,36670536
8/14/21,36719435
8/15/21,36761162
8/16/21,36981227
8/17/21,37133358
8/18/21,37291996
8/19/21,37449067
8/20/21,37694690
8/21/21,37760624
8/22/21,37796595
8/23/21,38034614
8/24/21,38191306
8/25/21,38361002
8/26/21,38545443
8/27/21,38788454
8/28/21,38849067
